"doc","totalwords","Headline","Year","Month","Day","NewsService","Byline"
"853","843","GRANT TO JERSEY CITY INSTITUTE TO AID 'UNDOCUMENTED' ALIENS","1984","February","12",NA,"PAMELA MARGOSHES"
"854","82","Cuban Defects in Canada","1984","February","7",NA,NA
"855","325","OUSTER OF SALVADORANS DEFENDED","1984","January","26",NA,NA
"856","241","TWO CAMBODIAN YOUNGSTERS' CONTINUING BURDEN","1984","January","26",NA,NA
"857","242","ELLIS ISLAND'S COMMEMORATION OF TRIUMPH","1984","January","21",NA,NA
"858","492","Psst! About That Immigration Bill . . .","1984","January","20",NA,NA
"859","869","STOCKMAN WARNS IMMIGRATION BILL MAY BE TOO COSTLY","1984","January","19",NA,"ROBERT PEAR, Special to the New York Times"
"860","863","U.S. ENTRY FOR POL POT YOUTHS DEBATED","1984","January","15",NA,NA
"861","246","Sharon Asks Portfolio In Israeli Government","1984","January","13",NA,NA
"862","58","CORRECTIONS","1984","January","13",NA,NA
"863","412","Correction Appended","1984","January","12",NA,NA
"864","812","JUSTICES TIGHTEN RULES FOR ALIENS","1984","January","11",NA,"LINDA GREENHOUSE"
"865","202","SHAMIR FIRMLY BACKS SHARON","1984","January","10",NA,NA
"866","489","Books: Illegal Aliens","1984","January","5",NA,"Richard F. Shepard"
